run_tag,number_of_clients_qos0,delay_qos0,number_of_messages_qos0,message_size_qos0,number_of_clients_qos1,delay_qos1,number_of_messages_qos1,message_size_qos1,number_of_clients_qos2,delay_qos2,number_of_messages_qos2,message_size_qos2,cpu,ram,active_window_start,active_window_end,active_window_seconds,throughput_window_bins,sent_throughput_mean,sent_throughput_median,received_throughput_mean,received_throughput_completion_percentage,received_throughput_median,message_loss,malformed_e2e_rows_skipped,cpu_mean_consumption,ram_mean_consumption,cpu_reached_maximum_capacity,ram_reached_maximum_capacity,incoming_throughput_qos0,incoming_throughput_qos1,incoming_throughput_qos2,cpu_factor_compared_to_min,ram_factor_compared_to_min,throughput_reached_maximum_capacity,message_loss_threshold_exceeded
20260614184451_29__C0100_D038_M07875_S0100_C1150_D142_M17000_S1250_C250_D250_M26000_S2250_CPU8_RAM4g,100,38,7875,100,150,42,7000,250,50,50,6000,250,8,4g,1781462751000,1781463053000,303.0,303,35356.3696369637,36010.0,35356.3696369637,0.9821213788045471,36370.0,-25480.0,0,52.33220467032967,20.260860805860805,false,false,13150.0,17850.0,5000.0,32.55947782240834,4.180701946660519,False,True
20260614184451_2__C0150_D057_M05250_S0750_C1100_D157_M15250_S1250_C2100_D2400_M2750_S2100_CPU16_RAM8g,150,57,5250,750,100,57,5250,250,100,400,750,100,16,8g,1781456089000,1781456412000,324.0,324,15503.095679012345,17043.5,15503.095679012345,0.6691983746336263,15487.5,1914497.0,0,8.62000531462585,18.67113945578231,false,false,13150.000000000002,8766.666666666668,1250.0,5.363100477777642,3.852672885772916,True,True
20260614184451_30__C0150_D085_M03500_S01000_C150_D128_M110500_S1100_C250_D2100_M23000_S2750_CPU2_RAM1g,150,85,3500,1000,50,28,10500,100,50,100,3000,750,2,1g,1781462751000,1781463074000,324.0,324,16525.5987654321,18211.5,16525.5987654321,0.8165830149688499,15396.0,645706.0,0,34.27224489795918,95.04151360544218,false,true,8812.5,8925.000000000002,2500.0,21.323129891218088,19.611222087311152,True,True
20260614184451_31__C050_D02500_M0120_S0500_C1150_D1171_M11750_S1100_C250_D22500_M2120_S2750_CPU8_RAM4g,50,2500,120,500,150,171,1750,100,50,2500,120,750,8,4g,1781462739000,1781463043000,305.0,305,4499.983606557377,4570.0,4499.983606557377,0.9836029741109021,4574.0,5.0,0,22.908668181818182,8.58169090909091,false,false,100.0,4375.0,100.0,14.253064213625875,1.7707782622393344,False,False
20260614184451_32__C0150_D0171_M01750_S0250_C150_D114_M121000_S1100_C250_D2200_M21500_S21000_CPU4_RAM2g,150,171,1750,250,50,14,21000,100,50,200,1500,1000,4,2g,1781463068000,1781463372000,305.0,305,22657.0,23385.0,22657.0,0.9649831410825199,23295.0,27115.0,0,32.06056363636364,27.58265454545455,false,false,4375.0,17854.166666666668,1250.0,19.947090272004726,5.691508305456084,False,True
20260614184451_33__C050_D014_M021000_S01000_C150_D157_M15250_S1750_C2150_D2600_M2500_S2500_CPU8_RAM4g,50,14,21000,1000,50,57,5250,750,150,600,500,500,8,4g,1781463070000,1781463380000,311.0,311,11201.173633440514,5660.0,11201.173633440514,0.476899356399809,11850.0,3453935.0,0,42.98197731316726,13.94170818505338,false,false,17854.166666666668,4383.333333333334,1250.0,26.742055793509756,2.8767843137328737,True,True
20260614184451_34__C0150_D085_M03500_S0500_C1100_D157_M15250_S1500_C2150_D27500_M240_S2500_CPU16_RAM8g,150,85,3500,500,100,57,5250,500,150,7500,40,500,16,8g,1781463085000,1781463394000,310.0,310,13743.464516129032,13600.5,13743.464516129032,0.7773819193662426,13467.0,1019526.0,0,10.999275669642856,17.614339285714287,false,false,8812.5,8766.666666666668,100.0,6.843408843261258,3.634608778301405,True,True
20260614184451_35__C0100_D028_M010500_S0500_C150_D157_M15250_S11000_C2100_D25000_M260_S2500_CPU2_RAM1g,100,28,10500,500,50,57,5250,1000,100,5000,60,500,2,1g,1781463306000,1781463624000,319.0,319,16094.294670846395,22044.0,16094.294670846395,0.7206400598886444,15795.0,1458420.0,0,22.66310553633218,97.64081314878892,false,true,17850.000000000004,4383.333333333334,100.0,14.10028273690268,20.147571296012103,True,True
20260614184451_36__C050_D02500_M0120_S0500_C1100_D1114_M12625_S1750_C2100_D2100_M23000_S2750_CPU4_RAM2g,50,2500,120,500,100,114,2625,750,100,100,3000,750,4,2g,1781463309000,1781463615000,307.0,307,9307.504885993485,9619.0,9307.504885993485,0.9814592146917558,9020.0,-14904.0,0,25.165469314079424,44.96075812274368,false,false,100.0,4383.333333333334,5000.0,15.657176019699017,9.277371322383022,False,True
20260614184451_37__C050_D019_M015750_S0250_C1100_D1114_M12625_S1250_C2100_D2200_M21500_S2100_CPU4_RAM2g,50,19,15750,250,100,114,2625,250,100,200,1500,100,4,2g,1781463321000,1781463621000,301.0,301,19970.913621262458,20040.0,19970.913621262458,0.9966769118533978,20060.0,-11245.0,0,47.68418819188192,24.24321033210332,false,false,13154.166666666668,4383.333333333334,2500.0,29.66762584709857,5.002434871839525,False,True
20260614184451_38__C0100_D05000_M060_S0750_C1150_D185_M13500_S1100_C2100_D25000_M260_S2250_CPU8_RAM4g,100,5000,60,750,150,85,3500,100,100,5000,60,250,8,4g,1781463350000,1781463652000,303.0,303,8865.082508250825,9015.0,8865.082508250825,0.9836429967545992,9007.0,-1120.0,0,49.28419871794872,12.436355311355312,false,false,100.0,8812.5,100.0,30.66310286870068,2.566164160434153,False,False
20260614184451_39__C0100_D0114_M02625_S0750_C1150_D157_M15250_S1750_C2150_D2200_M21500_S2500_CPU4_RAM2g,100,114,2625,750,150,57,5250,750,150,200,1500,500,4,2g,1781463373000,1781463708000,336.0,331,9819.770392749244,6198.0,9819.770392749244,0.4613831038096747,9653.0,3124656.0,0,31.233868464052286,95.43540849673202,false,true,4383.333333333334,13150.000000000002,3750.0,19.432746125826906,19.692499835308848,True,True
20260614184451_3__C0100_D038_M07875_S01000_C1100_D15000_M160_S1250_C2150_D2150_M22000_S2500_CPU8_RAM4g,100,38,7875,1000,100,5000,60,250,150,150,2000,500,8,4g,1781456302000,1781456627000,326.0,326,9992.51226993865,11300.0,9992.51226993865,0.5475349189007479,9757.0,2209941.0,0,11.019222972972972,27.836706081081083,false,false,13150.0,100.0,5000.0,6.855819437932078,5.74393025138045,True,True
20260614184451_40__C050_D02500_M0120_S01000_C1100_D128_M110500_S1500_C2100_D2133_M22250_S2100_CPU4_RAM2g,50,2500,120,1000,100,28,10500,500,100,133,2250,100,4,2g,1781463395000,1781463706000,312.0,312,19672.85576923077,23066.5,19672.85576923077,0.9062351985826074,19749.5,267069.0,0,30.04044769503546,51.494911347517736,false,false,100.0,17850.000000000004,3758.333333333333,18.690236665230163,10.625652985652186,True,True
20260614184451_41__C0150_D07500_M040_S0250_C1150_D17500_M140_S1250_C2150_D2600_M2500_S2100_CPU4_RAM2g,150,7500,40,250,150,7500,40,250,150,600,500,100,4,2g,1781463398000,1781463698000,301.0,301,1427.2425249169435,1435.0,1427.2425249169435,0.984305189597892,1420.0,5400.0,0,5.157583025830258,16.39721402214022,false,false,100.0,100.0,1250.0,3.208888507652703,3.3834625902143776,False,True
20260614184451_42__C050_D014_M021000_S01000_C1150_D185_M13500_S1100_C2100_D25000_M260_S21000_CPU2_RAM1g,50,14,21000,1000,150,85,3500,100,100,5000,60,1000,2,1g,1781463391000,1781463698000,308.0,308,18445.844155844155,26677.5,18445.844155844155,0.689134899969271,19076.0,2223680.0,0,35.20350719424461,40.58104316546763,false,false,17854.166666666668,8812.5,100.0,21.902532465097064,8.373644525029693,True,True
20260614184451_43__C0100_D05000_M060_S0250_C150_D12500_M1120_S11000_C2100_D2400_M2750_S2100_CPU4_RAM2g,100,5000,60,250,50,2500,120,1000,100,400,750,100,4,2g,1781463387000,1781463687000,301.0,301,1445.1827242524917,1455.0,1445.1827242524917,0.9966777408637874,1450.0,0.0,0,5.254986162361623,13.542601476014761,false,false,100.0,100.0,1250.0,3.269489724125512,2.794431139729508,False,False
20260614184451_44__C050_D057_M05250_S0250_C1150_D157_M15250_S11000_C250_D266_M24500_S21000_CPU16_RAM8g,50,57,5250,250,150,57,5250,1000,50,66,4500,1000,16,8g,1781463402000,1781463720000,319.0,319,11643.849529780564,4227.0,11643.849529780564,0.5461254420846854,11557.0,2660612.0,0,12.048968425605537,17.364377162629758,false,false,4383.333333333334,13150.000000000002,3787.5,7.496495183181635,3.5830306570861112,True,True
20260614184451_4__C0150_D0171_M01750_S0250_C1150_D17500_M140_S1500_C250_D22500_M2120_S2100_CPU8_RAM4g,150,171,1750,250,150,7500,40,500,50,2500,120,100,8,4g,1781456316000,1781456616000,301.0,301,4559.800664451827,4575.0,4559.800664451827,0.9966777408637874,4562.0,0.0,0,9.049100553505536,8.31269372693727,false,false,4375.0,100.0,100.0,5.630070252928835,1.7152723756014576,False,False
20260614184451_5__C0150_D057_M05250_S01000_C150_D12500_M1120_S1100_C250_D2200_M21500_S21000_CPU4_RAM2g,150,57,5250,1000,50,2500,120,100,50,200,1500,1000,4,2g,1781456338000,1781456655000,318.0,318,11008.349056603774,14137.5,11008.349056603774,0.7591964866623292,11759.0,841845.0,0,31.395876736111113,26.20217013888889,false,false,13150.000000000002,100.0,1250.0,19.53354265779753,5.406653979612532,True,True
20260614184451_6__C0100_D0114_M02625_S0100_C1100_D128_M110500_S1100_C2100_D2400_M2750_S2250_CPU2_RAM1g,100,114,2625,100,100,28,10500,100,100,400,750,250,2,1g,1781456350000,1781456650000,301.0,301,22437.85714285714,22865.0,22437.85714285714,0.9554800770556624,22753.0,183705.0,0,42.05659594095941,38.54311808118081,false,false,4383.333333333334,17850.000000000004,1250.0,26.16631214855008,7.95313142597313,False,True
20260614184451_7__C050_D019_M015750_S0250_C1150_D142_M17000_S1100_C250_D2100_M23000_S2250_CPU2_RAM1g,50,19,15750,250,150,42,7000,100,50,100,3000,250,2,1g,1781456344000,1781456648000,305.0,305,32603.45901639344,33500.0,32603.45901639344,0.9731165481823685,32967.0,-6555.0,0,54.18374545454546,41.62432727272727,false,false,13154.166666666668,17850.0,2500.0,33.711449184607375,8.58891967744961,False,True
20260614184451_8__C0100_D0114_M02625_S0100_C1100_D138_M17875_S1750_C2150_D2200_M21500_S2100_CPU2_RAM1g,100,114,2625,100,100,38,7875,750,150,200,1500,100,2,1g,1781456349000,1781456657000,309.0,309,20413.9644012945,21255.0,20413.9644012945,0.9591525952056928,20978.0,67085.0,0,43.108700716845874,73.84060931899641,false,false,4383.333333333334,13150.0,3750.0,26.820899172603877,15.236548046035077,False,True
20260614184451_9__C0100_D028_M010500_S0250_C1100_D128_M110500_S1500_C250_D2200_M21500_S2250_CPU2_RAM1g,100,28,10500,250,100,28,10500,500,50,200,1500,250,2,1g,1781456353000,1781456678000,326.0,326,25035.046012269937,19115.0,25035.046012269937,0.6775384577068994,24481.0,2713575.0,0,30.68235641891892,99.75217905405405,false,true,17850.000000000004,17850.000000000004,1250.0,19.089612403190305,20.58323844929027,True,True
